法院,刑事,民事,行政,懲戒,憲法法庭,其他/未分類,總計
臺灣臺中地方法院,1431,83,1,0,0,0,1515
臺灣高等法院,1159,132,0,0,0,0,1291
臺灣桃園地方法院,1130,57,4,0,0,0,1191
臺灣高等法院 臺中分院,914,39,0,0,0,0,953
臺灣新北地方法院,819,77,1,0,0,0,897
臺灣臺北地方法院,692,143,0,0,0,0,835
臺灣臺南地方法院,641,85,2,0,0,0,728
臺灣高雄地方法院,554,53,4,0,0,0,611
臺灣彰化地方法院,573,14,0,0,0,0,587
臺灣屏東地方法院,486,20,1,0,0,0,507
臺灣橋頭地方法院,436,63,0,0,0,0,499
臺灣高等法院 高雄分院,397,48,0,0,0,0,445
臺灣嘉義地方法院,399,31,1,0,0,0,431
臺灣士林地方法院,339,37,0,0,0,0,376
臺灣高等法院 臺南分院,341,28,0,0,0,0,369
臺灣新竹地方法院,338,20,0,0,0,0,358
最高法院,287,38,0,0,0,0,325
臺灣雲林地方法院,298,5,0,0,0,0,303
臺灣苗栗地方法院,263,13,0,0,0,0,276
臺灣南投地方法院,219,9,0,0,0,0,228
臺灣基隆地方法院,201,13,0,0,0,0,214
臺灣花蓮地方法院,168,7,1,0,0,0,176
臺灣宜蘭地方法院,142,6,0,0,0,0,148
臺灣臺東地方法院,132,3,0,0,0,0,135
臺北高等行政法院 高等庭,0,0,105,0,0,0,105
智慧財產及商業法院,29,46,15,0,0,0,90
臺灣高等法院 花蓮分院,80,0,0,0,0,0,80
最高行政法院,0,0,80,0,0,0,80
臺北高等行政法院 地方庭,0,0,52,0,0,0,52
高雄高等行政法院 高等庭,0,0,43,0,0,0,43
高雄高等行政法院 地方庭,0,0,41,0,0,0,41
福建金門地方法院,40,0,0,0,0,0,40
臺北高等行政法院,0,0,36,0,0,0,36
憲法法庭,0,0,0,0,16,0,16
臺中高等行政法院 高等庭,0,0,13,0,0,0,13
臺灣澎湖地方法院,10,1,0,0,0,0,11
臺中高等行政法院 地方庭,0,0,10,0,0,0,10
高雄高等行政法院,0,0,5,0,0,0,5
福建高等法院金門分院,2,2,0,0,0,0,4
懲戒法院懲戒法庭,0,0,0,3,0,0,3
福建連江地方法院,3,0,0,0,0,0,3
臺中高等行政法院,0,0,1,0,0,0,1
